,cca_name,cca_num,percent_unemployed,LTM_income_sub_10k,LTM_income_10-15k,LTM_income_15_20k,LTM_income_20_25k,LTM_income_25_30k,LTM_income_30_35k,LTM_income_35_40k,LTM_income_40_45k,LTM_income_45_50k,LTM_income_50_60k,LTM_income_60_75k,LTM_income_75_100k,LTM_income_100_125k,LTM_income_125_150k,LTM_income_150_200k,LTM_income_200k+,below_0.50_poverty_line,0.50_1.00_poverty_line,1.00_1.25_poverty_line,1.25_1.50_poverty_line,1.50_1.85_poverty_line,1.85_2.00_poverty_line,2.00+_poverty_line,White,Black_or_African_American,American_Indian_or_Alaska_Native,Asian,Native_Hawaiian_or_Other_Pacific_Islander,some_other_race_alone,two_or_more_races
40,Hyde Park,41,7.866349117399832,14.789862046839911,5.919153031761309,3.144048764837985,4.571703561116458,4.234841193455245,4.94064805903112,3.609239653512993,4.25088225858197,3.512993262752647,8.333333333333332,11.70195700994546,8.301251203079884,7.467115816490215,3.6573628488931664,4.25088225858197,7.314725697786333,13.907119714214506,7.676331311788652,5.013707734485337,2.508930796710144,4.23278225471463,1.3749273074686383,65.2862008806181,50.128286171122596,30.45030305283903,0.35325177555497717,12.062618525266798,0.0,3.097460305655747,3.908080169560852
41,Woodlawn,42,22.39563745769086,22.8689628631903,9.418895516644218,9.563209543967673,8.360592649605541,5.339619010967866,5.127958437560131,4.406388300942852,4.069655570521455,2.751587454300558,4.7431210313642485,6.349817202232057,8.783913796421013,3.107562055031749,1.866461420050029,2.3282663074850873,0.9139888397152204,20.961898315881676,19.09861846558108,6.581199984074532,6.4299080304176455,6.453796233626627,1.425329458135924,39.04924951228252,7.868864856689102,86.20207214701657,0.14747031687211676,3.2556908417151935,0.0,0.6466006201315889,1.8793012175754367
42,South Shore,43,22.35211081212228,23.373142749670865,9.38499153658078,9.99623848034606,6.286439721647545,5.040436336279857,5.788038367500469,5.256723716381418,4.353958999435772,2.0312206131277035,6.107767538085387,8.087267255971414,6.907090464547677,3.6110588677825843,1.725597141245063,0.9074666165130714,1.1425615948843333,19.276533006624167,17.33496687916606,6.2275473970554645,5.324251925992067,7.145378657308388,2.5250742363519323,42.16624789750192,2.831858407079646,93.92126945376869,0.18919743667989014,0.24005696266910792,0.0,0.44146068558641033,2.3761570542162547
43,Chatham,44,20.33547179898423,18.006644518272424,7.980804724990771,7.626430417128091,7.4861572535991145,6.984126984126984,4.31155407899594,6.423034330011074,3.861203396087117,4.171280915466962,7.76670358065707,7.988187523071244,8.74123292727944,4.363233665559247,1.8899963086009597,1.7866371354743449,0.6127722406792174,12.8002305770832,14.901044001793377,5.930954973419586,4.995836802664446,8.473707807596234,2.174469992954589,50.72375584448857,1.3042507733027202,97.04709971618993,0.03507764915973086,0.3475876144009694,0.06377754392678338,0.22322140374374183,0.9789852992761248
44,Avalon Park,45,22.33547529359628,14.907651715039577,5.883905013192612,6.517150395778364,10.0,3.087071240105541,4.459102902374671,3.8522427440633242,4.881266490765172,5.963060686015831,6.833773087071241,7.229551451187335,9.313984168865435,6.649076517150395,6.358839050131926,3.2189973614775726,0.8443271767810026,9.118758296742572,12.018788930868988,6.514857551312161,5.17716736444399,4.748289594608393,1.7052997038701112,60.71683855815378,0.8865790278202385,97.63578925914604,0.0,0.601243248751656,0.0,0.19362070722510955,0.6827677570569652
45,South Chicago,46,21.830929164316224,17.899901864573113,9.823356231599607,7.674190382728165,10.098135426889106,6.427870461236507,5.093228655544651,5.260058881256134,6.133464180569185,4.8380765456329735,4.416094210009813,7.5171736997055945,7.203140333660452,3.366045142296369,1.4327772325809618,1.9921491658488715,0.8243375858684985,16.36870709382151,16.815646453089244,9.156893592677346,8.431064073226544,7.190360411899313,2.749570938215103,39.28775743707094,18.419647624132406,75.29097704217833,0.07830574835379961,0.39152874176899805,0.021356113187399894,3.872575191315181,1.9256095390638903
46,Burnside,47,21.487603305785125,15.44532130777903,13.75422773393461,16.459977452085685,5.975197294250282,3.3821871476888385,7.1025930101465615,11.724915445321308,2.705749718151071,0.0,4.284103720405862,2.029312288613303,6.087936865839909,8.342728297632469,0.0,2.367531003382187,0.3382187147688839,15.609381007304881,20.107650903498655,5.382545174932718,4.1906958861976165,12.45674740484429,1.2302960399846214,41.02268358323722,0.0,100.0,0.0,0.0,0.0,0.0,0.0
47,Calumet Heights,48,16.86709836571076,5.829763456882101,6.090519649841684,6.053268765133172,6.928664555783199,3.296703296703297,6.258148631029988,5.643509033339542,4.544607934438443,5.438629167442727,10.411622276029057,6.5747811510523375,14.71409945986217,9.033339541814119,4.209349972061836,2.6820636990128515,2.2909294095734776,5.318373888969838,7.045024041964155,4.7428238379717325,5.179950458982952,9.522074894361067,1.959784350866968,66.23196852688329,3.888727060879697,94.0868045441305,0.07282260413632391,0.036411302068161955,0.0,0.9466938537722109,0.968540635013108
48,Roseland,49,25.300673066313585,13.550097683505443,7.409991627128106,7.312308121685739,7.375104660898689,5.763326821099637,5.8610103265420035,6.08428691041027,4.360870778677086,5.072564889757187,7.082054144571588,9.245046050795423,8.638012838403572,6.126151269885571,3.453809656712252,1.8001674574379012,0.8651967624895338,14.599464678329033,12.321957747825255,4.911098365357041,7.726316795717427,7.511232195774782,3.3409807857757388,49.588949431220726,1.6962710269380072,96.53452534995883,0.014115986354546525,0.4352429125985179,0.0,0.3717209740030585,0.9481237501470415
49,Pullman,50,19.38534278959811,12.854181064270906,13.234277816171389,6.288873531444368,5.1140290255701455,6.738078783690393,4.803040774015204,2.7988942639944714,5.183137525915687,5.010366275051831,7.740152038700761,9.502418797512094,11.644782308223911,6.599861782999309,1.1748445058742225,1.0711817553559089,0.24187975120939878,11.701963209151337,12.28938012057505,6.183335909723295,3.2462513526047303,6.245169268820529,1.8704591126912968,58.46344102643376,13.074911552068913,83.52561144439316,0.0,0.5229964620827565,0.0,1.7689586217505,1.1075219197046609
50,South Deering,51,25.282586922306482,17.265193370165747,6.925808997632202,9.273875295974744,5.682715074980268,5.26835043409629,5.505130228887134,7.044198895027624,6.254932912391475,4.222573007103394,6.2154696132596685,10.16179952644041,7.320441988950275,4.89344909234412,1.75611681136543,1.2628255722178374,0.9471191791633782,13.852303256667323,13.681934342441519,15.110412161719417,3.269772623026014,5.982569949544591,3.4991153921761353,44.60389227442501,25.965370793858217,66.39660241751062,0.18948056190787324,0.05227049983665469,0.0,5.926167918980725,1.470107807905913
51,East Side,52,17.002753842053835,7.577092511013215,4.933920704845815,6.505139500734214,6.035242290748899,8.267254038179148,6.0058737151248165,6.651982378854626,5.859030837004405,4.434654919236417,7.386196769456681,9.632892804698972,13.274596182085169,6.387665198237885,3.3333333333333335,2.2320117474302497,1.4831130690161527,9.094729763806003,12.65024796167101,5.778767756577288,11.05740943094898,9.989913423552157,4.715474489367067,46.7134571740775,83.17168409119536,4.0601251207120965,0.5458286098165176,0.11756308519124996,0.0,10.135617416131334,1.9691816769534367
52,West Pullman,53,24.764823261117446,13.642028568689483,6.106797047262966,9.74019748825616,7.065477902406289,4.9659668296424115,7.055891093854856,4.007285974499089,4.822164701370914,3.997699165947656,9.0595340811044,9.299204294890231,10.046975361902023,4.755057041510881,2.3295944779982745,1.7447991563608476,1.3613268143035184,16.292583250854058,15.74343092493854,7.135787490820855,5.424475591456211,5.402126368889882,3.649308770473484,46.35228760256697,4.531597332486504,93.63289933312163,0.09209272785011115,0.2127659574468085,0.0,1.0384248967926326,0.4922197523023182
53,Riverdale,54,40.79898002549937,34.960767218831734,15.518744551002616,9.80819529206626,6.9747166521360064,11.682650392327812,5.492589363557106,2.920662598081953,1.6564952048823016,1.5257192676547515,2.6591107236268527,2.1360069747166524,3.966870095902354,0.6974716652136007,0.0,0.0,0.0,36.44310690742333,28.05961593579822,9.085697907709946,7.366007451991975,5.431355689309258,1.2754370879908283,12.33877901977644,2.863187588152327,95.00705218617772,0.29619181946403383,0.36671368124118475,0.0,1.2976022566995769,0.16925246826516221
54,Hegewisch,55,9.041220678660897,10.031082226617688,7.205425261373269,5.057925967787511,4.492794574738626,7.68578694546482,4.238485447866629,2.458321559762645,5.199208816049731,3.4473014975981915,6.244701893190166,8.166148629556371,13.732692851087878,12.800226052557221,1.0454930771404352,7.318451539983046,0.87595365922577,9.194630872483222,8.534675615212528,3.5906040268456376,6.297539149888143,3.1767337807606264,0.5033557046979865,68.70246085011186,85.18766756032171,6.892314566577301,0.6478999106344951,0.3462913315460232,0.0,3.6639857015192137,3.261840929401251
