community_area,year,total_reqs,avg_resol_time,median_resol_time,perc_resol_less_than_1,perc_resol_1_min_1_hr,perc_resol_1_hr_12_hr,perc_resol_12_24_hr,perc_resol_1_3_day,perc_resol_3_7_day,perc_resol_7_14_day,perc_resol_14_30_day,perc_resol_1_3_month,perc_resol_3_12_month,perc_resol_1_year_plus,perc_resol_unresolved
36,2019,1370,43804.65849889625,941.35,0.3861313868613139,0.03868613138686131,0.05620437956204379,0.05474452554744526,0.06496350364963503,0.059124087591240874,0.04890510948905109,0.07518248175182482,0.10437956204379562,0.09197080291970802,0.01167883211678832,0.008029197080291971
36,2020,1615,26450.25160175879,251.825,0.29102167182662536,0.16222910216718267,0.06501547987616099,0.05572755417956656,0.07678018575851393,0.07554179566563468,0.05572755417956656,0.07678018575851393,0.07801857585139318,0.04458204334365325,0.0043343653250774,0.014241486068111455
36,2021,1134,18952.27035225049,1695.0666666666666,0.1455026455026455,0.13227513227513227,0.08641975308641975,0.06261022927689594,0.10934744268077601,0.07142857142857142,0.08641975308641975,0.08289241622574955,0.09611992945326278,0.02821869488536155,0.0,0.09876543209876543
37,2019,2119,41839.718343616514,1374.35,0.32090608777725343,0.10476639924492685,0.03680981595092025,0.042000943841434636,0.09438414346389806,0.09060877772534215,0.05899008966493629,0.07692307692307693,0.09532798489853704,0.049079754601226995,0.024539877300613498,0.005663048607833884
37,2020,2105,23602.860974827643,1325.95,0.363895486935867,0.04085510688836105,0.05795724465558195,0.04085510688836105,0.08836104513064133,0.09596199524940617,0.08028503562945369,0.10831353919239906,0.06460807600950119,0.04608076009501188,0.00047505938242280285,0.012351543942992874
37,2021,1956,23572.5882937555,3715.5833333333335,0.2198364008179959,0.07208588957055215,0.050102249488752554,0.05828220858895705,0.09713701431492842,0.09867075664621677,0.08997955010224949,0.1329243353783231,0.1058282208588957,0.04396728016359918,0.0,0.031186094069529654
38,2019,8250,41682.20439087736,1653.7666666666667,0.3312727272727273,0.05987878787878788,0.048363636363636366,0.04303030303030303,0.0886060606060606,0.09284848484848485,0.07090909090909091,0.0829090909090909,0.09296969696969697,0.07006060606060606,0.014787878787878787,0.004363636363636364
38,2020,9213,29319.383819199058,1314.225,0.3230218169977206,0.0755454249430153,0.058612829697167045,0.046998806034950616,0.090524259198958,0.0886790404862694,0.08563985672419408,0.08042982741777922,0.0742429176164116,0.053945511776837075,0.0053185715836318245,0.017041137523065235
38,2021,7179,21815.220117168108,5257.866666666667,0.09597436968937179,0.08887031620002786,0.0803733110461067,0.06337930073826438,0.11854018665552306,0.11505780749407996,0.11519710266053768,0.1252263546454938,0.10126758601476529,0.031062822120072435,0.0002785903329154478,0.06477225240284162
39,2019,2930,62549.65552505147,9637.758333333333,0.10341296928327645,0.05870307167235495,0.06075085324232082,0.06518771331058021,0.11706484641638225,0.10614334470989761,0.08805460750853242,0.10068259385665529,0.15085324232081912,0.12389078498293515,0.019795221843003412,0.005460750853242321
39,2020,3191,39158.77844671564,5386.7,0.10153556878721404,0.150109683484801,0.06204951425885302,0.059542463177687244,0.09620808523973676,0.12315888436226888,0.12221874020683171,0.09307427138827953,0.09307427138827953,0.06957066750235036,0.01065496709495456,0.01880288310874334
39,2021,2995,25949.31601585611,5755.933333333333,0.04273789649415693,0.08113522537562605,0.08046744574290485,0.08714524207011685,0.13255425709515858,0.12554257095158597,0.10751252086811353,0.128881469115192,0.10984974958263773,0.04440734557595993,0.000333889816360601,0.05943238731218698
4,2019,9946,77717.06583435457,7376.0583333333325,0.08757289362557812,0.040217172732756885,0.05570078423486829,0.07842348682887593,0.15151819827066157,0.11984717474361552,0.07269253971445808,0.0813392318520008,0.1333199276090891,0.12517595013070582,0.038709028755278506,0.015483611502111402
4,2020,10772,52564.96623068904,3605.6,0.1584663943557371,0.04558113627924248,0.07640178239881174,0.10007426661715559,0.1415707389528407,0.0993316004455997,0.09589676940215373,0.07621611585592276,0.08717044188637207,0.06739695506869663,0.03137764574823617,0.020516152989231342
